# wiring.csv
#
# IO wiring configuration file for Arduino Modbus Slave - 23/04/2016
# ----------------------------------------------------------------------------
#              LLF Flight Simulator - (c)2016 by Alain Menu
#
# format = number; size; mask; name; type; uno_pin; mega_pin
# ----------------------------------------------------------------------------

# Uno slave #1
# ----------------------------------------------------------------------------

# CN-H = CN1-5

40010;1;0030;	SelD-1;		SEL;	 0;	 7
40010;1;0300;	LedA-1;		LED;	 3;	11
40010;1;0C00;	LedB-1;		LED;	19;	13
30010;1;FFFF;	AdjC-1;		ADJ;	17;	54
40050;1;0030;	SelD-5;		SEL;	 1;	 8
40050;1;0300;	LedA-5;		LED;	 2;	 9
40050;1;0C00;	LedB-5;		LED;	15;	12

# CN-L = CN9

40090;1;0003;	IntA-9;		INT;	 7;	33
40090;1;000C;	IntB-9;		INT;	 6;	32
40090;1;0030;	IntC-9;		INT;	 5;	31
40090;1;00C0;	InvD-9;		INV;	16;	30
40090;1;0300;	LedA-9;		LED;	 8;	26
40090;1;0C00;	LedB-9;		LED;	 9;	27
40090;1;3000;	LedC-9;		LED; 	14;	28

# Uno slave #2
# ----------------------------------------------------------------------------

# CN-H = CN2-6

40020;1;0030;	SelD-2;		SEL;	 0;	 0
40020;1;0300;	LedA-2;		LED;	 3;	 3
40020;1;0C00;	LedB-2;		LED;	19;	 6
40060;1;0030;	SelD-6;		SEL;	 1;	 1
40060;1;0300;	LedA-6;		LED;	 2;	 2
40060;1;0C00;	LedB-6;		LED;	15;	 5

# CN-L = CN10

40100;1;0003;	IntA-10;	INT;	 7;	41
40100;1;000C;	IntB-10;	INT;	 6;	40
40100;1;0030;	InvC-10;	INV;	 5;	39
40100;1;00C0;	InvD-10;	INV;	16;	38
40100;1;0300;	LedA-10;	LED;	 8;	34
40100;1;0C00;	LedB-10;	LED;	 9;	35

# Uno slave #3
# ----------------------------------------------------------------------------

# CN-H = CN3-7

40030;1;0030;	SelD-3;		SEL;	 0;	19
40030;1;0300;	LedA-3;		LED;	 3;	16
40030;1;0C00;	LedB-3;		LED;	19;	14
30030;1;FFFF;	AdjC-3;		ADJ;	17;	58
40070;1;0030;	SelD-7;		SEL;	 1;	18
40070;1;0300;	LedA-7;		LED;	 2;	17
40070;1;0C00;	LedB-7;		LED;	15;	15
30070;1;FFFF;	AdjC-7;		ADJ;	18;	59

# Uno slave #4
# ----------------------------------------------------------------------------

# CN-H = CN4-8

40040;1;0030;	SelD-4;		SEL;	 0;	24
40040;1;0300;	LedA-4;		LED;	 3;	23
40040;1;0C00;	LedB-4;		LED;	19;	20
30040;1;FFFF;	AdjC-4;		ADJ;	17;	60
40080;1;0003;	SelA-8;		SEL;	 2;	22
40080;1;0030;	SelC-8;		SEL;	18;	61
40080;1;0C00;	LedB-8;		LED;	15;	21
40080;1;C000;	LedD-8;		LED;	 1;	25

# CN-L = CN12

40120;1;0003;	IntA-12;	INT;	 7;	49
40120;1;000C;	IntB-12;	INT;	 6;	48
40120;1;0030;	IntC-12;	INT;	 5;	47
40120;1;00C0;	IntD-12;	INT;	16;	46
40120;1;0300;	LedA-12;	LED;	 8;	42
40120;1;0C00;	LedB-12;	LED;	 9;	43
40120;1;3000;	LedC-12;	LED;	14;	44
40120;1;C000;	LedD-12;	LED;	15;	45
